"ID","CL","OP","HI","LO","VO","RSV","K","D","EMA","EMA.1","EMA.2","EMA.3","EMA.4","EMA.5","William_11","William_33","William_89","EMA.6","MTM","m_MTM","a_MTM"
"2010-11-03",78,0.1931,0.1938,0.275,0.125,1176900,55.7081823589854,80.813145280126,84.9784644916385,0.185746966488766,0.160137441202788,0.128302354131864,0.0318350870709237,0.0240805563617485,0.00775453070917521,55.7081823589854,69.0943396226415,0,0.166877691645281,0.0861,0.515946734108812,-0.0726884637326241
"2010-11-04",79,0.23,0.1931,0.236,0.1934,622900,75.663836460981,79.0967090070776,83.0178793301182,0.200497977659177,0.17088552717159,0.13583551308506,0.0350500140865303,0.0262744479067049,0.00877556617982545,75.663836460981,83.0188679245283,0,0.178354474982503,0.1275,0.714868522432691,0.19892178832388
"2010-11-05",80,0.26,0.23,0.2639,0.2101,875700,90,82.7311393380517,82.9222993327627,0.220331985106118,0.184595446068269,0.145032882486166,0.0395625635821021,0.0289320710417843,0.0106304925403178,91.8879454869937,94.3396226415094,0,0.193199115894775,0.128,0.662528911725014,-0.0523396107076773
"2010-11-08",81,0.243,0.34,0.37,0.2261,3833900,48.1632653061224,71.208514660742,79.0177044420892,0.227887990070746,0.193580762057766,0.15228970600571,0.041291056052056,0.0314038680438387,0.00988718800821738,54.6282733735844,64.7222222222222,0,0.202253822095725,0.0927,0.458334972558026,-0.204193939166988
"2010-11-09",82,0.21,0.243,0.323,0.199,1280800,34.6938775510204,59.0369689575015,72.3574592805599,0.22192532671383,0.196106798664263,0.156564542597879,0.039542256066384,0.0330315456483477,0.00651071041803625,34.6938775510204,55.5555555555556,0,0.20366221807832,0.0223,0.109495026669229,-0.348839945888798
"2010-11-10",83,0.24,0.21,0.24,0.14,611000,46.9387755102041,55.0042378084023,66.5730521231741,0.22795021780922,0.202859598869761,0.162744946849888,0.040114652019873,0.0344481669226528,0.0056664850972202,46.9387755102041,63.8888888888889,0,0.210269087518626,0.0669,0.31816374337038,0.208668716701151
"2010-11-11",84,0.2231,0.24,0.24,0.21,111100,40.0408163265306,50.0164306477784,61.0541782980422,0.22633347853948,0.205973506735952,0.167215691527674,0.0387578152082775,0.0353100965797777,0.0034477186284998,40.0408163265306,59.1944444444444,0,0.212601980697057,0.0331,0.155689988830185,-0.162473754540195
"2010-11-12",85,0.2682,0.2231,0.29,0.223,1049400,58.4489795918367,52.8272802957978,58.3118789639607,0.240288985692987,0.215546813391959,0.174696010673772,0.0408508027181868,0.0364182378074595,0.00443256491072721,58.4489795918367,71.7222222222222,0,0.222710711479411,0.0727,0.326432435678879,0.170742446848694
"2010-11-15",86,0.2682,0.279,0.2828,0.2682,233700,58.4489795918367,54.7011800611441,57.1083126630219,0.249592657128658,0.22364730363935,0.181622232105345,0.0420250715340052,0.0375396045527687,0.00448546698123652,58.4489795918367,71.7222222222222,0,0.230981491210427,0.0744,0.322103730520212,-0.00432870515866679
"2010-11-16",87,0.223,0.2682,0.275,0.223,860900,36.0869565217391,48.4964388813425,54.2376880691287,0.240728438085772,0.223547718464065,0.184687251949393,0.038860466514672,0.0378037769451493,0.00105668956952269,40,59.1666666666667,0,0.229530310990349,0.0299,0.130266019642422,-0.19183771087779
"2010-11-17",88,0.2299,0.223,0.29,0.2116,866200,39.0869565217391,45.3599447614747,51.2784402999107,0.237118958723848,0.224524992546517,0.188036344397586,0.0364886481489304,0.0375407511859056,-0.00105210303697513,42.8163265306122,61.0833333333333,0,0.229597527173922,-0.000100000000000017,-0.0004355447605682,-0.13070156440299
"2010-11-18",89,0.2678,0.2299,0.283,0.2221,1025300,55.5652173913043,48.7617023047512,50.4395276348575,0.247345972482565,0.231182686000899,0.193944763331099,0.0372379226698003,0.0374801854826845,-0.000242262812884211,55.5652173913043,71.6111111111111,71.6111111111111,0.236543431324118,0.00779999999999997,0.0329749169373983,0.0334104616979665
"2010-11-19",90,0.28,0.2678,0.28,0.2682,58300,76.5027322404372,58.0087122833132,52.9625891843428,0.25823064832171,0.238693042000761,0.200319225306573,0.0383738166941878,0.0376589117249852,0.000714904969202644,60.8695652173913,75,75,0.244444625628824,0.037,0.151363524171657,0.118388607234258
"2010-11-22",91,0.2879,0.2767,0.2879,0.269,781800,98.6,71.5391415222088,59.1547732969648,0.268120432214474,0.246263343231413,0.206806690098679,0.0394566531327343,0.038018460006535,0.0014381931261993,64.3043478260869,77.1944444444444,77.1944444444444,0.252345602787219,0.0779,0.308703615753852,0.157340091582195
"2010-11-23",92,0.2829,0.2879,0.2845,0.276,136100,91.125,78.0677610148059,65.4591025362451,0.273046954809649,0.251899751965042,0.21244323157285,0.0394565203921911,0.0383060720836662,0.00115044830852488,78.0874316939891,75.8055555555555,75.8055555555555,0.257900947734998,0.0429,0.166342932729667,-0.142360683024186
"2010-11-24",93,0.283,0.2829,0.283,0.2761,71000,91.0714285714286,82.4023168670134,71.1068406465012,0.276364636539766,0.256684405508881,0.21766965886375,0.0390147466451309,0.0384478069959592,0.00056693964917176,95.3333333333333,71.4754098360656,75.8333333333333,0.26246441178318,0.0599,0.228221417117239,0.0618784843875727
"2010-11-25",94,0.28,0.283,0.2825,0.278,46900,87.2448979591837,84.0165105644035,75.4100639524686,0.277576424359844,0.260271420045977,0.222286721170139,0.0379846988758373,0.0383551853719348,-0.000370486496097527,87.5000000000001,70.4918032786885,75,0.265652700549874,0.0118,0.0444188972126962,-0.183802519904543
